Time of Transmission,Satellite SSP Longitude,Satellite SSP Latitude,Path Loss dB,Azimuth Degree,Elevation Degree,Distance to Satellite,Sat Altitude
"2021-04-28 16:50:32.978620,2021,4,28,16,50,32",129.97377840906884,-21.92928150019921,231.37472595380257,,-75.79758415151335,13080.597601469395,709.9490860157593
"2021-04-28 17:26:25.732948,2021,4,28,17,26,25",-51.466344833282704,-26.93676779916456,226.98305891976545,,-31.618455020073547,7889.404690517648,709.9490860157593
"2021-04-28 17:32:00.970128,2021,4,28,17,32,0",-56.075495299912866,-6.825240440394998,224.35540385927916,,-19.210704857583902,5829.905041267213,709.9490860157593
"2021-04-28 17:39:03.415210,2021,4,28,17,39,3",-61.599442303128505,18.541818038566902,218.60432497025866,,-0.759552917380047,3006.820735074645,709.9490860157593
"2021-04-28 17:39:57.205527,2021,4,28,17,39,57",-62.35338284132319,21.76842828324445,217.47835605596822,,-4.384689446056942,2641.2474500031385,709.9490860157593
"2021-04-28 17:52:05.280157,2021,4,28,17,52,5",-80.0145341722398,64.89888799004495,217.933088952072,,-2.913916744714188,2783.20845825345,709.9490860157593
"2021-04-28 17:55:14.361960,2021,4,28,17,55,14",-96.02186213572509,75.22594608131399,221.2275186961598,,-7.754668246010655,4066.9349199701023,709.9490860157593
"2021-04-28 18:06:24.441989,2021,4,28,18,6,24",129.15786725378882,60.5894355670792,227.39865045309983,,-33.99003593749409,8276.063431322062,709.9490860157593
"2021-04-28 18:15:42.491633,2021,4,28,18,15,42",116.31314640476877,27.48524285237209,229.8812828817431,,-52.79646575370869,11014.262737509292,709.9490860157593
"2021-04-28 18:17:25.941428,2021,4,28,18,17,25",114.80220077686866,21.285856850653495,230.19628101532646,,-56.18561139734383,11421.031746885645,709.9490860157593
"2021-04-28 18:19:35.106032,2021,4,28,18,19,35",113.02945475073719,13.53713341673538,230.53839096268732,,-60.38818060023927,11879.846690445214,709.9490860157593
"2021-04-28 18:24:43.525145,2021,4,28,18,24,43",109.0362932931701,-4.980530337765281,231.14788467997664,,-70.29679769304744,12743.406064223911,709.9490860157593
"2021-04-28 18:35:37.520149,2021,4,28,18,35,37",98.99010930675168,-44.12792398290407,231.59834459835008,,-86.08621705938147,13421.730613869944,709.9490860157593
"2021-04-28 18:40:59.733645,2021,4,28,18,40,59",89.20466325242018,-63.06010725592144,231.4301728003707,,-77.52087375681042,13164.365387794125,709.9490860157593
